access, иметь доступ; осуществлять доступ
accessibility, доступность
accurate, точный
appliance, приспособление; устройство; прибор; инструмент; бытовая техника
aplication, применение; приложение; прикладная программа
authorize, санкционировать
bar chart, столбчатая диаграмма; график; блок-схема
beverage, напиток
chart, диаграмма
commitment, обязательство
compatible, совместимый
conduct, поведение; поступок; образ действий/водить; проводить
сonfigurable, гибкий; конфигуриемый; изменяющийся; настраиваемый
configure, конфигурировать; придавать форму; формировать
consumer, потребитель
convenient, удобный
customize, настроить; модифицировать; индивидуализировать; подгонять
dedicate, посвящать; предназначать; специализироваться
dedicated, преданный; ориентированный на; предназначенный для определенной цели; назначенный
domain, домен
drawback, недостаток
embed, встроить
escalate, обострять; повышать; усугубляться
flexible, гибкий
flexibly, гибко
flow chart, блок-схема; схема-алгоритм; логическая схема; структурная схема
full-fledged, равноправный; развившийся; полноценный; сложившийся
host, хост-компьютер; ведущий компьютер; вычислительный узел
hosting, установка средств вычислительной техники; размещение сайтов; внешнее размещение
implement, воплощать в жизнь; применять
installation, установка; найстрока; подключение
justify, обосновывать; объяснять
network, сеть; сетевая организация
on-the-fly, в реальном времени; оперативно; динамически
pay-per-use, система оплаты по мере использования
pie chart, круговая диаграмма
pool, общий фонд; объединение; пул; объединенный резерв
primary, первостепенный; первичный
proper, присущий; правильный; свойственный; надлежащий
purchase, покупка
questionnaire, анкета
range, ассортимент; спектр; ряд
reliable, надежный
remote, удаленный
respond, отвечать
retail, розничная торговля
scaling, пересчет; вычисление размеров по масштабу; установка масштаба
schedule, расписание; график; список; схема; пакет приложений/составлять; планировать; назначить; заносить в график
server, сервер
substantial, существенный; значительный; содержательный; особенный
survey, опрос
table, таблица
transaction, сделка
upward, вверх
visualize, визуализировать; представлять себе; отображать
wireless, беспроводной
