addressee, адресат; получатель
advertising, реклама
allocate, выделять; распределять
anchor, якорь
annoy, раздражать; надоедать; беспокоить
archive, архив
assessment, оценка
attach, прикреплять; присоединять
blink, мерцать
cash, денежные средства; наличность
censorship, цензура
cipher, шифротекст; шифрование/шифровать; кодировать
declare, объявлять; обнаруживать; обнародовать
delivery, доставка; поставка; посылка
ease, легкость; удобство
emerge, появляться
encrypt, шифровать; кодировать
estate, имущество
facility, средство; орудие; приспособлением
flash, вспышка
flashing, мигающий
interlocutor, собеседник
irritate, раздражать; сердить; злить; волновать
log on, вход; подключение; процедура входа/входить в систему; регистроваться
navigate, проводить; управлять; направлять; ориентировать
obtrusive, навязчивый; назойливый; бесцеремонный
pay off, окупиться; оправдать себя; приносить выгоды
peer-to-peer, равный с равным; равноправные узлы; равноправный
plain, ясный; понятный; простой; ровный; основной
popup, выскакивать; появляться
preferable, предпочительный
private, частный; личный
proprietary, собственный; находящийся в собственности
real estate, недвижимость
recipient, получатель
register, регистр/регистрировать; вносить в список
request, запрос; просьба; требование/запрашивать; требовать; подавать заявку
require, приказывать; потребовать; нуждаться в чем-либо
response, ответ; реакция; отклик; реагирование
split, раскалывать; отделять; делить на части
subscribe, подписываться
subscriber, подписчик
suitable, подходящий; годный; надлежащий
tiresome, утомительный
update, обновлять; модернизировать; совершенствовать
version, версия
via, с помощью
warehouse, склад; оптовый магазин; оптовая база
