able,способный; умелый
about,про; об; о,,,,,
abroad,за границей,,,,,
accept,принимать; признавать; соглашаться; допускать,,,,,
access,доступ,,,,,
accident,несчастный случай,,,,,
account,аккаунт; учётная запись; счёт,,,,,
achieve,достигать,,,,,
act,действия,,,,,
action,действие,,,,,
activity,деятельность,,,,,
actor,актер,,,,,
actress,актриса,,,,,
address,адрес,,,,,
adds,добавляет,,,,,
advantage,преимущество,,,,,
adventure,приключение,,,,,
advertisement,объявление; реклама,,,,,
advertising,реклама,,,,,
advice,совет,,,,,
affect,влиять; затрагивать; воздействовать,,,,,
afraid,испуганный,,,,,
after,после,,,,,
afternoon,после обеда,,,,,
again,опять; снова,,,,,
against,против,,,,,
age,возраст,,,,,
agent,агент,,,,,
ago,тому назад; назад,,,,,
agree,соглашаться; соглашается,,,,,
agreement,соглашение,,,,,
aim,цель,,,,,
airplane,самолет,,,,,
airport,аэропорт,,,,,
airs,воздух,,,,,
alcohol,алкоголь,,,,,
alive,живой,,,,,
all,все,,,,,
allow,позволять,,,,,
allowed,позволил; разрешил,,,,,
allows,разрешает,,,,,
almost,почти,,,,,
alone,один,,,,,
along,рядом; вдоль,,,,,
already,уже,,,,,
also,также,,,,,
alternative,альтернативный,,,,,
always,всегда,,,,,
ambulance,машина скорой помощи,,,,,
America,​​Америка,,,,,
american,американский,,,,,
among,среди; между,,,,,
amount,количество,,,,,
analysis,анализ,,,,,
analyze,анализировать,,,,,
announce,объявляет,,,,,
another,другой,,,,,
answer,отвечать,,,,,
answers,отвечает,,,,,
any,любой,,,,,
anybody,кто-нибудь,,,,,
anything,что-нибудь,,,,,
anywhere,где угодно,,,,,
appear,появляться; появляется,,,,,
appears,появляется,,,,,
application,приложение; заявление,,,,,
apply,применить; подать заявку,,,,,
appointment,встреча; приём; деловое свидание,,,,,
approximately,приблизительно; примерно,,,,,
april,апрель,,,,,
architect,архитектор,,,,,
area,район; область; площадь,,,,,
argument,аргумент,,,,,
arm,рука,,,,,
army,армия,,,,,
around,вокруг,,,,,
arrest,арест,,,,,
arrive,прибывает,,,,,
arrived,прибыл,,,,,
art,искусство,,,,,
article,статья,,,,,
artist,художник; артист; музыкант,,,,,
as,как,,,,,
ask,спрашивать,,,,,
asked,спрашивал; просил,,,,,
asks,спрашивает,,,,,
assume,предполагать,,,,,
assumed,предположил,,,,,
assumes,предполагает,,,,,
at,у; в; за; при; по; на,,,,,
athlete,спортсмен,,,,,
attack,атака,,,,,
attempt,попытка,,,,,
attention,внимание,,,,,
attitude,отношение; позиция; мироощущение,,,,,
audience,аудитория,,,,,
august,август,,,,,
aunt,тетя,,,,,
author,автор,,,,,
available,доступный,,,,,
avenue,проспект,,,,,
average,средняя,,,,,
avoid,избегать,,,,,
awards,награды,,,,,
away,прочь; вдали,,,,,
baby,малыш; ребенок; младенец,,,,,
back,спина,,,,,
backpack,рюкзак,,,,,
bad,плохой,,,,,
bag,сумка,,,,,
ball,мяч,,,,,
band,группа,,,,,
bank,банк,,,,,
bar,бар,,,,,
basket,корзина,,,,,
basketball,баскетбол,,,,,
bathroom,ванная,,,,,
battery,аккумулятор; батарея,,,,,
battle,битва,,,,,
beach,пляж,,,,,
beat,удар; бить; побеждать,,,,,
beautiful,красивый,,,,,
beauty,красота; салон красоты,,,,,
because,потому что,,,,,
become,становиться; делаться,,,,,
bed,кровать,,,,,
bedsheets,простыни,,,,,
been,был,,,,,
before,перед; до того как; прежде; раньше; до,,,,,
begin,начинать,,,,,
begins,начинает,,,,,
behavior,поведение,,,,,
behind,позади,,,,,
believe,верить,,,,,
believes,верит,,,,,
bell,колокол,,,,,
belong,принадлежать,,,,,
benefits,преимущества; выгоды,,,,,
best,лучший,,,,,
better,лучше,,,,,
between,между,,,,,
bicycle,велосипед,,,,,
big,большой,,,,,
bigger,больше; больший; более крупный,,,,,
bilingual,двуязычный,,,,,
births,рождение,,,,,
bit,немного,,,,,
blame,возлагать вину,,,,,
blood,кровь,,,,,
board,управление; департамент; доска,,,,,
boat,лодка,,,,,
body,тело,,,,,
border,граница,,,,,
boss,босс,,,,,
both,оба,,,,,
bottle,бутылка,,,,,
bowl,миска,,,,,
box,коробка,,,,,
boyfriend,приятель; парень; возлюбленный,,,,,
brain,мозг,,,,,
brand,бренд,,,,,
bridge,мост,,,,,
brothers,братья,,,,,
budget,бюджет,,,,,
build,строить,,,,,
buildings,здания,,,,,
bus,автобус,,,,,
business,бизнес,,,,,
but,но,,,,,
by,мимо; рядом; около; возле; благодаря,,,,,
cabinet,кабинет; правительство; шкаф,,,,,
calendar,календарь,,,,,
call,вызов; звонить; звать; называть; крик; звонок,,,,,
called,назвал; позвал; позвонил,,,,,
calling,звонить,,,,,
calls,звонит,,,,,
camera,камера,,,,,
campaign,кампания,,,,,
can,быть в состоянии сделать что-либо; уметь; мочь; может,,,,,
cancer,рак,,,,,
candidate,кандидат,,,,,
cannot,не могу,,,,,
capital,столица,,,,,
captain,капитан,,,,,
car,автомобиль,,,,,
card,карта,,,,,
care,уход,,,,,
career,карьера,,,,,
case,случай,,,,,
castle,замок,,,,,
categories,категории,,,,,
cause,причина,,,,,
cellphone,сотовый телефон,,,,,
center,центр,,,,,
century,столетие,,,,,
chain,цепь,,,,,
chair,стул,,,,,
championship,чемпионат,,,,,
change,изменение; менять,,,,,
changed,изменил,,,,,
channel,канал,,,,,
chapter,глава,,,,,
character,персонаж; характер,,,,,
charge,заряд,,,,,
cheaper,дешевый,,,,,
check,проверка; чек,,,,,
chemistry,химия,,,,,
chest,грудь,,,,,
China,Китай,,,,,
chinese,китайский,,,,,
choice,выбор,,,,,
choose,выбирать,,,,,
church,церковь,,,,,
cinema,кинотеатр,,,,,
circle,круг,,,,,
citizen,гражданин,,,,,
city,город,,,,,
class,класс,,,,,
clean,чистый,,,,,
cleaner,чистый,,,,,
clear,ясный,,,,,
clearly,ясно; отчетливо; очевидно,,,,,
climate,климат,,,,,
clock,часы,,,,,
closed,закрыл,,,,,
coach,тренер,,,,,
coast,берег,,,,,
cold,холодный,,,,,
collection,коллекция,,,,,
college,колледж,,,,,
comb,расческа; гребень; расчесывание,,,,,
come,приезжать; подойти; идти,,,,,
comes,приходит,,,,,
coming,подходить,,,,,
comments,комментарии,,,,,
committee,комитет,,,,,
communication,общение,,,,,
community,сообщество,,,,,
company,компания,,,,,
competition,конкуренция,,,,,
completely,полностью,,,,,
computer,компьютер,,,,,
concept,концепция,,,,,
concert,концерт,,,,,
conclusion,заключение; вывод,,,,,
